[10:12:55] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[10:14:20] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[10:14:20] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[10:14:20] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[10:14:20] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[10:14:20] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[10:14:20] [main/INFO]: Reloading ResourceManager: Default
[10:14:24] [Worker-Main-4/INFO]: Loaded 7 recipes
[10:14:25] [Worker-Main-4/INFO]: Loaded 1137 advancements
[10:15:43] [Server thread/INFO]: Starting minecraft server version 1.17.1
[10:15:43] [Server thread/INFO]: Loading properties
[10:15:43] [Server thread/INFO]: Default game type: SURVIVAL
[10:15:43] [Server thread/INFO]: Generating keypair
[10:15:43] [Server console handler/ERROR]: Exception handling console input
java.io.IOException: Identificador inválido
	at java.io.FileInputStream.readBytes(Native Method) ~[?:?]
	at java.io.FileInputStream.read(FileInputStream.java:271) ~[?:?]
	at java.io.BufferedInputStream.read1(BufferedInputStream.java:282) ~[?:?]
	at java.io.BufferedInputStream.read(BufferedInputStream.java:343) ~[?:?]
	at sun.nio.cs.StreamDecoder.readBytes(StreamDecoder.java:297) ~[?:?]
	at sun.nio.cs.StreamDecoder.implRead(StreamDecoder.java:339) ~[?:?]
	at sun.nio.cs.StreamDecoder.read(StreamDecoder.java:188) ~[?:?]
	at java.io.InputStreamReader.read(InputStreamReader.java:178) ~[?:?]
	at java.io.BufferedReader.fill(BufferedReader.java:161) ~[?:?]
	at java.io.BufferedReader.readLine(BufferedReader.java:329) ~[?:?]
	at java.io.BufferedReader.readLine(BufferedReader.java:396) ~[?:?]
	at aas$1.run(SourceFile:101) [server.jar:?]
[10:15:44] [Server thread/INFO]: Starting Minecraft server on 26.45.19.244:25565
[10:15:46] [Server thread/INFO]: Using default channel type
[10:16:00] [Server thread/INFO]: Preparing level "world"
[10:16:03] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[10:16:05] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:16:05] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:05] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:05] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:16:05] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:06] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:06] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:16:06] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:16:07] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:16:07] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:16:08] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:08] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:09] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:09] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:10] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:10] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:16:11] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:16:11] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:16:12] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:16:12] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:16:13] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:13] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:16:14] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:15] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:15] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:15] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:16:16] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:16] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:17] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:16:17] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:18] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:18] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:16:19] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:16:19] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:16:20] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:16:20] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:16:21] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:16:21] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:22] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:16:22] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:16:23] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:23] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:24] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:24] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:16:25] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:16:25] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:16:26] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:16:26] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:16:27] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:16:28] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:16:28] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:16:28] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:16:29] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:29] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:16:30] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:16:30] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:16:31] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:16:31] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:16:32] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[10:16:34] [Worker-Main-6/INFO]: Preparing spawn area: 0%
